,why_mode
7339,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7340,
7341,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7342,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7343,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7344,"[{'score': 0.700216, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7345,"[{'score': 0.692851, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.899126, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7346,"[{'score': 0.679603, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7347,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7348,"[{'score': 0.971677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7349,"[{'score': 0.512604, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7350,"[{'score': 0.551055, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7351,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7352,[]
7353,[]
7354,[]
7355,[]
7356,"[{'score': 0.537095, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7357,[]
7358,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7359,[]
7360,
7361,[]
7362,"[{'score': 0.838593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7363,[]
7364,"[{'score': 0.976469, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7365,[]
7366,"[{'score': 0.747994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7367,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7368,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7369,"[{'score': 0.542339, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.929844, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7370,[]
7371,"[{'score': 0.561417, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7372,"[{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7373,"[{'score': 0.593876, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7374,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7375,"[{'score': 0.60475, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7376,[]
7377,
7378,[]
7379,"[{'score': 0.527124, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7380,"[{'score': 0.551612, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
7381,"[{'score': 0.896021, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7382,"[{'score': 0.724234, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.859164, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.864644, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7383,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7384,
7385,"[{'score': 0.850871, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7386,"[{'score': 0.949832, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7387,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7388,[]
7389,"[{'score': 0.568262, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7390,"[{'score': 0.681431, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7391,[]
7392,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7393,"[{'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.895772, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7394,"[{'score': 0.865637, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7395,"[{'score': 0.619024, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.838983, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7396,"[{'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7397,"[{'score': 0.569636, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7398,[]
7399,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7400,"[{'score': 0.541767, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.952933, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.724637, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7401,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7402,
7403,"[{'score': 0.821444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7404,"[{'score': 0.881481, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.882955, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7405,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7406,[]
7407,"[{'score': 0.87766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7408,[]
7409,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7410,"[{'score': 0.881874, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
7411,"[{'score': 0.931577, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7412,[]
7413,"[{'score': 0.667459, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.832174, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.795523, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7414,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7415,[]
7416,
7417,[]
7418,[]
7419,[]
7420,"[{'score': 0.989679, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.698156, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7421,"[{'score': 0.842936, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.817737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.95676, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7422,"[{'score': 0.586281, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.50382, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7423,[]
7424,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7425,"[{'score': 0.512829, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7426,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7427,"[{'score': 0.563924, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.961535, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7428,[]
7429,
7430,"[{'score': 0.641082, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7431,"[{'score': 0.853576, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7432,[]
7433,
7434,
7435,[]
7436,"[{'score': 0.519288, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.720783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7437,"[{'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.918845, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7438,"[{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7439,[]
7440,
7441,"[{'score': 0.519695, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.679542, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7442,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7443,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7444,"[{'score': 0.573599, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7445,[]
7446,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7447,"[{'score': 0.66492, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7448,"[{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7449,
7450,"[{'score': 0.594263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7451,"[{'score': 0.778006, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.862149, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7452,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7453,
7454,"[{'score': 0.696667, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.949401, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7455,
7456,"[{'score': 0.648297, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7457,[]
7458,[]
7459,
7460,
7461,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.911475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7462,[]
7463,"[{'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7464,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7465,[]
7466,"[{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7467,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7468,"[{'score': 0.842491, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7469,"[{'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7470,"[{'score': 0.939116, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7471,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7472,
7473,"[{'score': 0.52014, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.91171, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7474,
7475,
7476,"[{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7477,"[{'score': 0.630157, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7478,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7479,"[{'score': 0.852071, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7480,"[{'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7481,"[{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7482,"[{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.67368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7483,"[{'score': 0.941785, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7484,
7485,"[{'score': 0.797334, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7486,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7487,
7488,
7489,"[{'score': 0.660658, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.930755, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7490,"[{'score': 0.954099, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7491,"[{'score': 0.502936, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75131, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7492,[]
7493,"[{'score': 0.550626, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
7494,"[{'score': 0.579189, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.722389, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7495,[]
7497,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7498,"[{'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7499,
7500,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7501,"[{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7502,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.722586, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7503,"[{'score': 0.792962, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7504,"[{'score': 0.923498, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.642407, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7505,"[{'score': 0.536175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.808199, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7506,[]
7507,[]
7508,[]
7509,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7510,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7511,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7512,"[{'score': 0.559387, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7513,"[{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7514,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7515,"[{'score': 0.865159, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7516,"[{'score': 0.880561, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7517,"[{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7518,"[{'score': 0.769635, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7519,"[{'score': 0.747602, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.65181, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7520,"[{'score': 0.961411, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7521,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7522,[]
7523,"[{'score': 0.693699, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7524,"[{'score': 0.67368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7525,[]
7526,[]
7527,"[{'score': 0.955584, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7528,"[{'score': 0.595347, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7529,"[{'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7530,
7531,"[{'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.754451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7532,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7533,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7534,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7535,"[{'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7538,"[{'score': 0.507288, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7539,"[{'score': 0.947244, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.884138, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7540,[]
7541,"[{'score': 0.908301, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7542,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7543,"[{'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7544,
7545,"[{'score': 0.636153, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.703409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7546,"[{'score': 0.97667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7547,[]
7548,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.765977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7549,"[{'score': 0.560602, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7550,"[{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7551,"[{'score': 0.528813, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7552,[]
7553,[]
7554,
7555,
7556,[]
7557,"[{'score': 0.85591, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.972933, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7558,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7559,"[{'score': 0.966573, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7560,"[{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7561,"[{'score': 0.827783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7562,"[{'score': 0.829929, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7563,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7564,"[{'score': 0.790954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7565,"[{'score': 0.736354, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7566,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7567,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7568,
7569,"[{'score': 0.814623, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.802229, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.97825, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7570,[]
7571,[]
7572,"[{'score': 0.687931, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7573,[]
7574,
7575,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7576,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7577,"[{'score': 0.779635, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.548579, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7578,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7579,[]
7580,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7581,"[{'score': 0.735684, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.833309, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7582,"[{'score': 0.544097, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7583,"[{'score': 0.513855, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.784773, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7584,[]
7585,"[{'score': 0.568713, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.666746, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7586,"[{'score': 0.958239, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7587,"[{'score': 0.508403, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7588,[]
7589,"[{'score': 0.937169, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.79901, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7590,[]
7591,[]
7592,"[{'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7593,"[{'score': 0.989679, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7594,"[{'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7595,
7596,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7597,"[{'score': 0.778929, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.921915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7598,"[{'score': 0.643758, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7599,"[{'score': 0.537908, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7600,"[{'score': 0.515376, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.866656, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7601,
7602,[]
7603,"[{'score': 0.948977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.544371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7604,"[{'score': 0.552759, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.883404, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7605,"[{'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7606,[]
7608,"[{'score': 0.614437, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.956097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.964005, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7609,[]
7610,"[{'score': 0.798791, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7611,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7612,[]
7613,"[{'score': 0.571212, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7614,
7615,"[{'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.78945, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7616,"[{'score': 0.719949, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7617,[]
7618,[]
7619,"[{'score': 0.989022, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7620,"[{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7621,
7622,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7623,"[{'score': 0.546456, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
7624,[]
7625,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7626,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7627,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7628,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7629,[]
7630,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7631,"[{'score': 0.502921, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
7632,"[{'score': 0.609239, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7633,"[{'score': 0.584247, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7634,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
7635,"[{'score': 0.632519, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.988366, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7636,
7637,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7638,"[{'score': 0.901148, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.922197, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
7639,[]
7640,"[{'score': 0.650317, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.764826, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7641,[]
7642,
7643,
7644,[]
7645,
7646,"[{'score': 0.678559, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7647,[]
7648,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7649,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
